ID,LINK
9906,https://www.boat24.com/en/catalog/powerboats/de-boarnstream/boarncruiser-46-retro-line-cabrio/2022/9906/
519933,https://www.boat24.com/en/powerboats/integrity/integrity-510-sx/detail/519933/
541163,https://www.boat24.com/en/sailingboats/northshore-fisher-fisher-30/detail/541163/
505013,https://www.boat24.com/en/inflatableboats/grand/grand-g340n-yamaha-25ps/detail/505013/
328510,https://www.boat24.com/en/engines/mercruiser/mercruiser-82-mpi-380-ps-dts/detail/328510/
529908,https://www.boat24.com/en/powerboats/motorschip-coaster-3000/detail/529908/
539881,https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis/detail/539881/
529917,https://www.boat24.com/en/powerboats/abacus/abacus-62/detail/529917/
483879,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-525-axess--30-jahre-roje-boote/detail/483879/
541825,https://www.boat24.com/en/sailingboats/dehler/dehler-dehlya-25-hefkiel/detail/541825/
430102,https://www.boat24.com/en/sailingboats/jouet/jouet-cornu-135m-bermudan-sloop/detail/430102/
464608,https://www.boat24.com/en/powerboats/galia/galia-750ht/detail/464608/
245604,https://www.boat24.com/en/catalog/inflatableboats/zodiac/yachtline-400/2022/245604/
524018,https://www.boat24.com/en/powerboats/crownline/crownline-340-cr/detail/524018/
245842,https://www.boat24.com/en/catalog/powerboats/quicksilver/activ-755-sundeck/2022/245842/
496903,https://www.boat24.com/en/sailingboats/melges/melges-meerblickscowmelges1957-m-cim-rating/detail/496903/
525268,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-light-30/detail/525268/
494619,https://www.boat24.com/en/powerboats/beneteau/beneteau-flyer-7-sundeck/detail/494619/
527715,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-805-cruiser/detail/527715/
245283,https://www.boat24.com/en/catalog/powerboats/tiara/39-open/2022/245283/
539336,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-855-activ/detail/539336/
534436,https://www.boat24.com/en/smallboats/fun-yak/fun-yak-390-fun-yack/detail/534436/
462558,https://www.boat24.com/en/powerboats/invictus/invictus-cx-240/detail/462558/
525384,https://www.boat24.com/en/sailingboats/bali-catamarans/bali-catamarans-46/detail/525384/
432286,https://www.boat24.com/en/powerboats/cobalt/cobalt-cs23-mod-2023/detail/432286/
532340,https://www.boat24.com/en/powerboats/galeon/galeon-440-fly/detail/532340/
415094,https://www.boat24.com/en/smallboats/fun-yak/fun-yak-fy-250/detail/415094/
544896,https://www.boat24.com/en/sailingboats/lagoon/lagoon-40/detail/544896/
224356,https://www.boat24.com/en/powerboats/yamarin/yamarin-63-br/detail/224356/
540906,https://www.boat24.com/en/sailingboats/nautors-swan/nautors-swan-41-an-der-schlei/detail/540906/
490590,https://www.boat24.com/en/powerboats/ferretti/ferretti-670/detail/490590/
543795,https://www.boat24.com/en/powerboats/spertini/spertini-alalunga-72/detail/543795/
464410,https://www.boat24.com/en/powerboats/fairline/fairline-38-targa/detail/464410/
534937,https://www.boat24.com/en/powerboats/azimut/azimut-az-46/detail/534937/
543008,https://www.boat24.com/en/powerboats/ocean-master-pl/ocean-master-pl-680-dc/detail/543008/
535097,https://www.boat24.com/en/powerboats/azimut/azimut-atlantis-34/detail/535097/
534342,https://www.boat24.com/en/powerboats/elektroboot-gebraucht/detail/534342/
544221,https://www.boat24.com/en/powerboats/ocean-master-pl/ocean-master-pl-630wa/detail/544221/
533215,https://www.boat24.com/en/sailingboats/lagoon/lagoon-450-f/detail/533215/
495717,https://www.boat24.com/en/sailingboats/bavaria/bavaria-cruiser-37/detail/495717/
491688,https://www.boat24.com/en/powerboats/maril/maril-7nxt/detail/491688/
478914,https://www.boat24.com/en/powerboats/fjord/fjord-38-xpress/detail/478914/
534545,https://www.boat24.com/en/inflatableboats/zar-formenti/zar-formenti-49-sl-weiss-grau/detail/534545/
538731,https://www.boat24.com/en/sailingboats/dehler/dehler-41-cr/detail/538731/
536724,https://www.boat24.com/en/powerboats/bayliner/bayliner-trophy/detail/536724/
526942,https://www.boat24.com/en/powerboats/maxum/maxum-se2900/detail/526942/
514349,https://www.boat24.com/en/powerboats/airon-marine/airon-marine-amx-28/detail/514349/
10144,https://www.boat24.com/en/catalog/sailingboats/catalina/315/2023/10144/
464317,https://www.boat24.com/en/inflatableboats/zodiac/zodiac-pro-65/detail/464317/
535798,https://www.boat24.com/en/sailingboats/maxi-fenix-maxi-fenix--nedsat/detail/535798/
