,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
631,96935,Germany,NEW BOAT,Jeanneau NEU Rigiflex AquaPeche 370 Standard,Jeanneau,2022,powerboats,Fishing Boat,Steel,3.7,1.63,,1,,,2299,https://www.boat24.com/en/powerboats/jeanneau/jeanneau-neu-rigiflex-aquapeche-370-standard/detail/96935/
632,520725,Germany,NEW BOAT,Quicksilver Inflatables 300 Sport Aluminium Boden,Quicksilver,2023,inflatableboats,Foldable Inflatable Boat,PVC,3.0,1.52,,1,,,1290,https://www.boat24.com/en/inflatableboats/quicksilver-inflatables/quicksilver-inflatables-300-sport-aluminium-boden/detail/520725/
633,528421,Germany,USED BOAT,nan,nan,1980,powerboats,Classic Power Boat,Wood,6.8,2.3,0.6,1,270.0,199.0,180000,https://www.boat24.com/en/powerboats/riva/riva-olympic/detail/528421/
634,524378,Portugal,USED BOAT,Mondo marine 85,Mondo,1995,powerboats,Flybridge,,26.05,5.87,1.81,2,1300.0,956.0,550000,https://www.boat24.com/en/powerboats/mondo-marine/mondo-marine-85/detail/524378/
635,486844,Germany,NEW BOAT,Aquador 28 HT,Aquador,2021,powerboats,Hardtop,GRP,8.05,3.05,,1,270.0,199.0,199000,https://www.boat24.com/en/powerboats/aquador/aquador-28-ht/detail/486844/
636,462770,Switzerland,NEW BOAT,nan,nan,2023,powerboats,Sport Boat,GRP,7.8,2.49,0.89,1,350.0,257.0,203063,https://www.boat24.com/en/powerboats/cranchi/cranchi-e26-classic/detail/462770/
637,512138,,,nan,nan,,powerboats,UNKNOWN,,UNKNOWN,UNKNOWN,,1,,,495000,https://www.boat24.com/en/powerboats/overmarine/overmarine-mangusta-80-open/detail/512138/
638,332758,Croatia,USED BOAT,Kempers Kempala Kreuzer 1170,Kempers,1987,powerboats,Motor Yacht,Steel,12.25,3.7,1.2,1,100.0,74.0,62000,https://www.boat24.com/en/powerboats/kempers/kempers-kempala-kreuzer-1170/detail/332758/
639,364643,Slovenia,NEW BOAT,Walker Bay Generation 525 DLX,Walker,2023,inflatableboats,RIB,,5.25,2.44,,1,115.0,85.0,52460,https://www.boat24.com/en/inflatableboats/walker-bay/walker-bay-generation-525-dlx/detail/364643/
640,539850,Germany,USED BOAT,Trintella 38,Trintella,1984,sailingboats,Center Cockpit,GRP,13.0,3.0,1.6,1,,,92500,https://www.boat24.com/en/sailingboats/trintella/trintella-38/detail/539850/
