,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
7992,521953,Spain,USED BOAT,Formula 382 Fastech,Formula,1999,powerboats,Sport Boat,GRP,11.63,2.51,1.2,2,350.0,257.0,119000.0,https://www.boat24.com/en/powerboats/formula/formula-382-fastech/detail/521953/
7994,527970,Netherlands,USED BOAT,Klipperaak 28.50 met CBB,Klipperaak,1905,powerboats,Trawler,Steel,28.5,4.85,1.1,1,180.0,132.0,64500.0,https://www.boat24.com/en/powerboats/klipperaak-2850-met-cbb/detail/527970/
7999,527676,Italy,NEW BOAT,Quicksilver 705 PILOTHOUSE,Quicksilver,2023,powerboats,Fishing Boat,GRP,7.05,2.54,0.54,1,150.0,110.0,57130.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-705-pilothouse/detail/527676/
8000,520711,Spain,USED BOAT,Sunseeker Camarque 55,Sunseeker,1993,powerboats,Motor Yacht,GRP,16.65,4.45,0.9,2,347.0,255.0,115000.0,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-camarque-55/detail/520711/
8003,504607,Netherlands,USED BOAT,Wibo 930,Wibo,1974,sailingboats,Sailing Yacht,Steel,9.6,3.0,1.95,1,28.0,21.0,10000.0,https://www.boat24.com/en/sailingboats/wibo-930/detail/504607/
8007,542840,Switzerland,NEW BOAT,Dufour 310 Grand Large,Dufour,2014,sailingboats,Sailing Yacht,GRP,9.35,3.31,1.9,1,13.0,10.0,96900.0,https://www.boat24.com/en/sailingboats/dufour/dufour-310-grand-large/detail/542840/
8008,527646,France,USED BOAT,Jeanneau Sun Legende 41,Jeanneau,1988,sailingboats,Sailing Yacht,PVC,12.25,3.96,2.0,1,44.0,32.0,61000.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-legende-41/detail/527646/
8009,541027,Italy,USED BOAT,nan,nan,2006,sailingboats,Sailing Yacht,GRP,14.98,4.58,2.15,1,110.0,81.0,190000.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-49-ds/detail/541027/
8014,545259,Italy,USED BOAT,"Aprea Fratelli Sorrento 7,80",Aprea,1991,powerboats,Motor Yacht,GRP,7.85,2.32,0.62,1,80.0,59.0,32000.0,https://www.boat24.com/en/powerboats/aprea-fratelli-sorrento-780/detail/545259/
8019,484551,Spain,NEW BOAT,Absolute 60 FLY,Absolute,2024,powerboats,Motor Yacht,GRP,18.66,4.94,1.43,2,950.0,699.0,1420000.0,https://www.boat24.com/en/powerboats/absolute/absolute-60-fly/detail/484551/
8023,516172,Italy,USED BOAT,FERRETTI 150,FERRETTI,1995,powerboats,Flybridge,GRP,13.98,4.5,1.28,2,600.0,441.0,180000.0,https://www.boat24.com/en/powerboats/ferretti/ferretti-150/detail/516172/
8032,487060,France,USED BOAT,Nicols Yacht Sixto Prestige C,Nicols,2017,powerboats,Houseboat,GRP,13.5,3.8,0.85,1,50.0,37.0,218000.0,https://www.boat24.com/en/powerboats/nicols-yacht/nicols-yacht-sixto-prestige-c/detail/487060/
8034,499252,Netherlands,USED BOAT,Bavaria 42 HT Sport IPS-500,Bavaria,2007,powerboats,Motor Yacht,GRP,13.4,4.28,1.15,2,370.0,272.0,192000.0,https://www.boat24.com/en/powerboats/bavaria/bavaria-42-ht-sport-ips-500/detail/499252/
8036,533103,Germany,USED BOAT,ELLING E3  Ultimate XE,ELLING,2000,powerboats,Motor Yacht,GRP,13.8,4.25,1.2,2,370.0,272.0,279000.0,https://www.boat24.com/en/powerboats/elling-e3-ultimate-xe/detail/533103/
